Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2021.0,Granvia,Wagon,USED,Automatic,2.8,Rear,Diesel,8.0,65325.0,NSW,4,Wagon,4,6,58990.0
Skoda,2023.0,Scala,Alto Skoda Artarmon New Cars,DEMO,Automatic,1.5,Front,Premium,5.5,1500.0,NSW,4,Hatchback,5,5,39990.0
Suzuki,2017.0,Vitara,SUV,USED,Automatic,1.6,Front,Unleaded,6.0,92032.0,NSW,4,SUV,4,5,23990.0
Holden,2015.0,Captiva,SUV,USED,Automatic,2.4,Front,Unleaded,8.8,59584.0,NSW,4,SUV,4,5,14999.0
Mercedes-Benz,2016.0,C250,Sedan,USED,Automatic,2.0,Rear,Premium,6.0,87277.0,WA,4,Sedan,4,5,44900.0
Mitsubishi,2013.0,Pajero,SUV,USED,Automatic,3.2,4WD,Diesel,9.0,218288.0,NSW,4,SUV,4,7,22999.0
Subaru,2014.0,WRX,Sedan,USED,Automatic,2.0,AWD,Premium,8.6,152539.0,NSW,4,Sedan,4,5,26950.0
Mazda,2013.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,8.2,126634.0,NSW,4,Sedan,4,5,16995.0
Nissan,2020.0,X-Trail,SUV,USED,Automatic,2.5,Front,Unleaded,8.1,57557.0,NSW,4,SUV,4,7,29990.0
Isuzu,2018.0,D-MAX,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,7.9,87014.0,WA,4,Ute / Tray,4,5,49975.0
Volkswagen,2012.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Premium,8.8,121577.0,NSW,4,SUV,4,5,14995.0
Toyota,2018.0,Kluger,SUV,USED,Automatic,3.5,AWD,Unleaded,9.5,50657.0,NSW,6,SUV,4,7,44990.0
Nissan,2015.0,Pulsar,Sedan,USED,Automatic,1.8,Front,Unleaded,6.7,104210.0,NSW,4,Sedan,4,5,14990.0
Subaru,2022.0,Outback,SUV,USED,Automatic,2.5,AWD,Unleaded,7.3,24082.0,WA,4,SUV,4,5,43999.0
Kia,2019.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,87519.0,NSW,4,Sedan,4,5,20248.0
Volkswagen,2017.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Diesel,5.9,85379.0,NSW,4,SUV,4,5,34990.0
Volvo,2022.0,XC40,SUV,USED,Automatic,2.0,AWD,Premium,7.1,10489.0,NSW,4,SUV,4,5,61490.0
Mazda,2022.0,CX-5,SUV,USED,Automatic,2.5,AWD,Unleaded,7.5,4867.0,NSW,4,SUV,4,5,49990.0
Kia,2020.0,Cerato,AUS Vehicle Sales - Bassendean,USED,Automatic,2.0,Front,Unleaded,7.4,38689.0,WA,4,Hatchback,4,5,22990.0
Hyundai,2021.0,Palisade,SUV,USED,Automatic,2.2,AWD,Diesel,7.3,21403.0,NSW,4,SUV,4,7,72888.0
Mazda,2013.0,CX-5,SUV,USED,Automatic,2.2,AWD,Diesel,5.7,153193.0,NSW,4,SUV,4,5,18990.0
Suzuki,2022.0,Jimny,SUV,USED,Automatic,1.5,4WD,Unleaded,6.9,10.0,VIC,4,SUV,2,4,46990.0
Mazda,2019.0,CX-5,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,19942.0,NSW,4,SUV,4,5,32990.0
Toyota,2007.0,Aurion,Sedan,USED,Automatic,3.5,Front,Unleaded,9.9,149436.0,NSW,6,Sedan,4,5,13995.0
Mazda,2006.0,6,Sedan,USED,Automatic,2.3,Front,Premium,8.9,205123.0,NSW,4,Sedan,4,5,9995.0
Mercedes-Benz,2016.0,Sprinter,Hot Spot Autos Granville,USED,Automatic,2.0,Rear,Diesel,7.4,153083.0,NSW,4,Commercial,4,5,43950.0
Ford,2022.0,Puma,SUV,USED,Automatic,1.0,Front,Premium,5.3,8825.0,WA,3,SUV,5,5,29950.0
Audi,2019.0,S3,Other,USED,Automatic,2.0,AWD,Premium,6.6,22889.0,NSW,4,Other,4,5,56990.0
Volkswagen,2007.0,Golf,Hatchback,USED,Automatic,2.0,Front,Diesel,6.3,166343.0,WA,4,Hatchback,5,5,12990.0
Hyundai,2019.0,Iload,Commercial,USED,Automatic,2.5,Rear,Diesel,8.8,161670.0,NSW,4,Commercial,4,6,32950.0
Audi,2014.0,S3,Hatchback,USED,Automatic,2.0,AWD,Premium,6.9,90636.0,NSW,4,Hatchback,5,5,32800.0
Mazda,2023.0,CX-9,Rockdale Mazda New,DEMO,Automatic,2.5,Front,Unleaded,8.4,1027.0,NSW,4,SUV,4,7,69988.0
Mitsubishi,2020.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,48953.0,WA,4,SUV,4,5,25990.0
Toyota,2022.0,Yaris,SUV,USED,Automatic,1.5,AWD,Hybrid,4.0,6829.0,NSW,3,SUV,4,5,42999.0
Mazda,2023.0,CX-8,Rockdale Mazda New,NEW,Automatic,2.2,AWD,Diesel,6.0,7.0,NSW,4,SUV,4,7,71888.0
Toyota,2023.0,Camry,Sedan,USED,Automatic,2.5,Front,Hybrid,4.5,112.0,NSW,4,Sedan,4,5,53999.0
Porsche,2005.0,Boxster,Convertible,USED,Manual,2.7,Rear,Premium,9.6,28482.0,NSW,6,Convertible,2,2,59990.0
Toyota,2020.0,RAV4,SUV,USED,Automatic,2.5,Front,Hybrid,4.7,20763.0,NSW,4,SUV,5,5,57990.0
Renault,2013.0,Megane,Hatchback,USED,Manual,1.2,Front,Premium,5.6,86745.0,WA,4,Hatchback,5,5,10990.0
Nissan,2012.0,Caravan,Melbourne Automobiles Pty Ltd,USED,Automatic,2.0,Other,Diesel,7.4,286909.0,VIC,4,Commercial,4,5,23888.0
Mercedes-Benz,2018.0,C300,Sedan,USED,Automatic,2.0,Rear,Premium,6.5,73106.0,NSW,4,Sedan,4,4,44999.0
Mercedes-Benz,2015.0,GLE400,SUV,USED,Automatic,3.0,AWD,Premium,9.3,124210.0,NSW,6,SUV,4,5,56950.0
Mitsubishi,2021.0,Outlander,SUV,USED,Automatic,2.5,AWD,Unleaded,8.1,20271.0,NSW,4,SUV,4,7,56990.0
Peugeot,2017.0,3008,SUV,USED,Automatic,1.6,Front,Premium,7.0,79614.0,NSW,4,SUV,4,5,27990.0
Volkswagen,2021.0,T-Cross,SUV,USED,Automatic,1.0,Front,Premium,5.4,36095.0,WA,3,SUV,4,5,28975.0
Audi,2016.0,SQ5,SUV,USED,Automatic,3.0,AWD,Diesel,6.8,128660.0,NSW,6,SUV,5,5,37800.0
Ford,2020.0,Everest,SUV,USED,Automatic,2.0,4WD,Diesel,7.0,77897.0,NSW,4,SUV,4,7,58900.0
Mazda,2022.0,CX-8,Stanmore Mazda,DEMO,Automatic,2.2,AWD,Diesel,6.0,213.0,NSW,4,SUV,4,7,68288.0
Nissan,2015.0,Serena,National Vehicles,USED,Automatic,2.0,Other,Unleaded,7.4,110500.0,VIC,4,Wagon,4,5,24888.0
Mitsubishi,2020.0,ASX,SUV,USED,Automatic,2.4,Front,Unleaded,7.9,86655.0,WA,4,SUV,4,5,32490.0
Mitsubishi,2023.0,Pajero,DEMO,DEMO,Automatic,2.0,Other,Diesel,7.4,10.0,NSW,4,Wagon,4,5,68990.0
BMW,2016.0,220I,Coupe,USED,Automatic,2.0,Rear,Premium,6.0,57261.0,WA,4,Coupe,2,4,34990.0
Mazda,2022.0,BT-50,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,8.0,16192.0,NSW,4,Ute / Tray,4,5,65888.0
Volkswagen,2018.0,Polo,Hatchback,USED,Automatic,1.0,Front,Premium,5.0,32029.0,NSW,3,Hatchback,5,5,22990.0
Nissan,2020.0,Qashqai,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,29638.0,WA,4,SUV,4,5,26995.0
Isuzu,2017.0,D-MAX,Ute / Tray,USED,Manual,3.0,Rear,Diesel,7.2,51431.0,NSW,4,Ute / Tray,2,2,27888.0
BMW,2019.0,X3,SUV,USED,Automatic,2.0,4WD,Premium,7.6,44905.0,NSW,4,SUV,4,5,54800.0
Hyundai,2022.0,I30,Sedan,USED,Automatic,1.6,Front,Unleaded,6.8,12213.0,WA,4,Sedan,4,5,41990.0
Mazda,2022.0,CX-9,Rockdale Mazda New,DEMO,Automatic,2.5,AWD,Unleaded,8.8,7.0,NSW,4,SUV,4,7,59988.0
Lexus,2019.0,NX,Mornington Mazda,USED,Automatic,2.0,Front,Premium,7.4,34254.0,VIC,4,Wagon,4,5,52990.0
Toyota,2023.0,RAV4,SUV,USED,Automatic,2.5,AWD,Hybrid,4.8,11.0,NSW,4,SUV,5,5,63777.0
Nissan,2023.0,Pathfinder,SUV,USED,Automatic,3.5,Front,Premium,10.0,4950.0,WA,6,SUV,4,8,64999.0
Mazda,2017.0,BT-50,Ute / Tray,USED,Automatic,2.2,Rear,Diesel,7.6,171921.0,NSW,4,Ute / Tray,2,3,22788.0
Kia,2021.0,Carnival,Wagon,USED,Automatic,3.5,Front,Unleaded,9.6,102745.0,NSW,6,Wagon,4,8,41888.0
Toyota,2022.0,Yaris,Hatchback,USED,Automatic,1.5,Front,Unleaded,4.9,8595.0,WA,3,Hatchback,5,5,28990.0
Kia,2015.0,Sportage,SUV,USED,Automatic,2.0,Front,Unleaded,8.8,117179.0,NSW,4,SUV,4,5,16990.0
Kia,2022.0,Picanto,Hatchback,USED,Automatic,1.2,Front,Unleaded,5.8,5150.0,NSW,4,Hatchback,5,5,23990.0
