Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595.0,NSW,4,SUV,4,7,51990.0
MG,2022.0,MG3,Hatchback,USED,Automatic,1.5,Front,Premium,6.7,16.0,NSW,4,Hatchback,5,5,19990.0
Renault,2022.0,Arkana,SUV,USED,Automatic,1.3,Front,Unleaded,6.0,1035.0,NSW,4,SUV,4,5,34990.0
Toyota,2004.0,Estima,ON FOUR WHEELS,USED,Automatic,2.0,Other,Unleaded,7.4,160230.0,NSW,4,Commercial,4,5,9990.0
Land,2017.0,Rover,SUV,USED,Automatic,2.0,AWD,Diesel,5.1,67662.0,NSW,4,SUV,2,4,62280.0
Toyota,2013.0,86,Coupe,USED,Automatic,2.0,Rear,Premium,7.1,82012.0,NSW,4,Coupe,2,4,24888.0
Honda,2014.0,Jazz,Hatchback,USED,Automatic,1.3,Front,Hybrid,4.5,38229.0,NSW,4,Hatchback,5,5,17900.0
Toyota,2009.0,HiAce,Carbarn,USED,Automatic,2.0,Other,Unleaded,7.4,148190.0,NSW,4,Commercial,4,5,42500.0
Toyota,2018.0,HiAce,Commercial,USED,Automatic,2.7,Rear,Unleaded,9.8,16324.0,NSW,4,Commercial,4,2,41999.0
Toyota,2016.0,HiAce,Commercial,USED,Automatic,3.0,Rear,Diesel,8.0,229829.0,NSW,4,Commercial,4,2,27995.0
Volkswagen,2012.0,Golf,Hatchback,USED,Automatic,1.4,Front,Premium,6.2,55676.0,NSW,4,Hatchback,5,5,14999.0
BMW,2014.0,X3,SUV,USED,Automatic,2.0,4WD,Diesel,5.6,82624.0,NSW,4,SUV,4,5,24985.0
BMW,2011.0,118D,Hatchback,USED,Automatic,2.0,Rear,Diesel,5.4,95204.0,NSW,4,Hatchback,5,5,13999.0
Ford,2014.0,Fiesta,Hatchback,USED,Automatic,1.0,Front,Unleaded,5.4,76289.0,NSW,3,Hatchback,5,5,12400.0
Mitsubishi,2012.0,Outlander,SUV,USED,Automatic,2.4,AWD,Unleaded,7.5,219681.0,NSW,4,SUV,4,7,13999.0
Ford,2013.0,Fiesta,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.1,98079.0,NSW,4,Hatchback,5,5,11999.0
Honda,2018.0,Jazz,Hatchback,USED,Automatic,1.5,Front,Unleaded,5.8,43274.0,NSW,4,Hatchback,5,5,19900.0
Subaru,2012.0,Outback,SUV,USED,Automatic,2.5,AWD,Premium,8.4,105672.0,NSW,4,SUV,4,5,17990.0
Mitsubishi,2018.0,Mirage,Hatchback,USED,Automatic,1.2,Front,Unleaded,4.7,36836.0,NSW,3,Hatchback,5,5,14995.0
Toyota,2005.0,Camry,Sedan,USED,Automatic,2.4,Front,Unleaded,9.8,115821.0,NSW,4,Sedan,4,5,8499.0
Hyundai,2011.0,I45,Sedan,USED,Automatic,2.4,Front,Unleaded,7.9,189711.0,NSW,4,Sedan,4,5,12990.0
Ford,2015.0,Territory,SUV,USED,Automatic,2.7,Rear,Diesel,8.2,173786.0,NSW,6,SUV,4,7,16999.0
Nissan,2018.0,Qashqai,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,114301.0,NSW,4,SUV,4,5,21950.0
Volkswagen,2013.0,Golf,Hatchback,USED,Manual,2.0,Front,Premium,6.6,69197.0,NSW,4,Hatchback,5,5,24880.0
Volkswagen,2023.0,T-Cross,NEW In stock,NEW,Automatic,2.0,Front,Premium,7.4,15.0,NSW,4,Wagon,4,5,35887.0
Hyundai,2015.0,Tucson,SUV,USED,Automatic,2.0,Front,Unleaded,7.9,94377.0,NSW,4,SUV,4,5,23888.0
Ford,2016.0,Focus,Hatchback,USED,Automatic,1.5,Front,Unleaded,6.2,94965.0,NSW,4,Hatchback,5,5,16999.0
Nissan,2019.0,X-Trail,SUV,USED,Automatic,2.5,Front,Unleaded,8.1,99294.0,NSW,4,SUV,4,7,24490.0
Toyota,2021.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Hybrid,4.2,13694.0,NSW,4,Hatchback,5,5,44878.0
Toyota,2007.0,Yaris,Sedan,USED,Automatic,1.5,Front,Unleaded,6.7,264691.0,NSW,4,Sedan,4,5,7949.0
Jeep,2012.0,Grand,Mr Car,USED,Automatic,2.0,Other,Unleaded,7.4,224839.0,NSW,4,Wagon,4,5,13999.0
Toyota,2010.0,Corolla,Hatchback,USED,Manual,1.8,Front,Unleaded,7.7,238270.0,NSW,4,Hatchback,5,5,8800.0
Toyota,2009.0,HiAce,Nippon Motors,USED,Automatic,2.0,Rear,Unleaded,7.4,76259.0,NSW,4,Commercial,4,5,32900.0
Jeep,2015.0,Patriot,SUV,USED,Automatic,2.4,4WD,Unleaded,9.1,140964.0,NSW,4,SUV,4,5,13990.0
Volvo,2013.0,S60,Sedan,USED,Automatic,1.6,Front,Premium,7.4,141000.0,NSW,4,Sedan,4,5,14999.0
Mitsubishi,2016.0,Triton,Ute / Tray,USED,Automatic,2.4,4WD,Diesel,7.6,240402.0,NSW,4,Ute / Tray,4,5,22750.0
Mercedes-Benz,2010.0,E250,Coupe,USED,Automatic,1.8,Rear,Premium,7.9,101126.0,NSW,4,Coupe,2,4,21950.0
Mercedes-Benz,2013.0,A250,Hatchback,USED,Automatic,2.0,Front,Premium,6.6,117254.0,NSW,4,Hatchback,5,5,19999.0
Toyota,2012.0,86,Coupe,USED,Manual,2.0,Rear,Premium,7.8,178747.0,NSW,4,Coupe,2,4,19900.0
Mazda,2022.0,CX-5,SUV,USED,Automatic,2.5,AWD,Unleaded,7.5,10579.0,NSW,4,SUV,4,5,37990.0
Toyota,2010.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.7,167101.0,NSW,4,Hatchback,5,5,12990.0
Abarth,2021.0,595,Hatchback,USED,Manual,1.4,Front,Premium,6.0,13200.0,NSW,4,Hatchback,3,4,36990.0
Honda,2014.0,CR-V,SUV,USED,Automatic,2.4,4WD,Unleaded,8.7,103211.0,NSW,4,SUV,4,5,23880.0
Toyota,2007.0,Corolla,Sedan,USED,Automatic,1.8,Front,Unleaded,7.4,177751.0,NSW,4,Sedan,4,5,10990.0
Toyota,2016.0,HiAce,People Mover,USED,Automatic,2.7,Rear,Unleaded,10.9,119614.0,NSW,4,People Mover,3,14,44900.0
Hyundai,2012.0,I30,Hatchback,USED,Automatic,1.8,Front,Unleaded,6.9,125546.0,NSW,4,Hatchback,5,5,15880.0
Mazda,2013.0,6,Sedan,USED,Automatic,2.5,Front,Unleaded,6.6,163000.0,NSW,4,Sedan,4,5,16995.0
Toyota,2008.0,Kluger,SUV,USED,Automatic,3.5,Front,Unleaded,11.0,132864.0,NSW,6,SUV,4,7,19880.0
Hyundai,2018.0,Santa,SUV,USED,Automatic,2.2,AWD,Diesel,7.8,71655.0,NSW,4,SUV,4,7,43999.0
BMW,2012.0,X3,SUV,USED,Automatic,2.0,4WD,Diesel,5.6,109459.0,NSW,4,SUV,4,5,18888.0
Holden,2016.0,Cascada,Convertible,USED,Automatic,1.6,Front,Premium,7.5,65361.0,NSW,4,Convertible,2,4,24995.0
Mercedes-Benz,2006.0,ML320,SUV,USED,Automatic,3.0,4WD,Diesel,9.6,212953.0,NSW,6,SUV,4,5,9998.0
Mitsubishi,2009.0,Lancer,Sedan,USED,Automatic,2.0,Front,Unleaded,8.2,163012.0,NSW,4,Sedan,4,5,9990.0
Audi,2014.0,A5,Coupe,USED,Automatic,2.0,AWD,Premium,6.7,82119.0,NSW,4,Coupe,2,4,27380.0
Kia,2018.0,RIO,Hatchback,USED,Automatic,1.0,Front,Unleaded,5.4,42071.0,NSW,3,Hatchback,5,5,24999.0
Jeep,2015.0,Cherokee,SUV,USED,Automatic,3.2,4WD,Unleaded,10.0,85958.0,NSW,6,SUV,4,5,17999.0
Volkswagen,2011.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Premium,8.8,118642.0,NSW,4,SUV,4,5,12990.0
Mitsubishi,2012.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.9,187265.0,NSW,4,SUV,4,5,13990.0
BMW,2016.0,220I,Convertible,USED,Automatic,2.0,Rear,Premium,6.4,118120.0,NSW,4,Convertible,2,4,28990.0
Hyundai,2022.0,Tucson,SUV,USED,Automatic,2.0,Front,Unleaded,8.1,19978.0,NSW,4,SUV,4,5,36800.0
Mazda,2011.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,8.2,86804.0,NSW,4,Sedan,4,5,13999.0
Volkswagen,2023.0,Tiguan,Alto Volkswagen New Cars,NEW,Automatic,2.0,AWD,Premium,8.9,15.0,NSW,4,SUV,4,7,56887.0
Hyundai,2014.0,Imax,Wagon,USED,Automatic,2.5,Rear,Diesel,9.0,183550.0,NSW,4,Wagon,4,8,19888.0
Toyota,2014.0,Yaris,Hatchback,USED,Automatic,1.3,Front,Unleaded,6.3,191748.0,NSW,4,Hatchback,5,5,8995.0
Toyota,2016.0,Kluger,SUV,USED,Automatic,3.5,Front,Unleaded,10.4,139637.0,NSW,6,SUV,4,7,31900.0
Mitsubishi,2013.0,Lancer,Sedan,USED,Automatic,2.0,Front,Unleaded,7.2,165306.0,NSW,4,Sedan,4,5,14995.0
Subaru,2016.0,XV,SUV,USED,Automatic,2.0,AWD,Unleaded,7.1,104887.0,NSW,4,SUV,4,5,22990.0
Mini,2017.0,Cooper,Hatchback,USED,Automatic,2.0,Front,Premium,5.5,72501.0,NSW,4,Hatchback,5,5,31990.0
Peugeot,2015.0,308,Mr Car,USED,Automatic,2.0,Other,Unleaded,7.4,167127.0,NSW,4,Hatchback,4,5,12999.0
Hyundai,2015.0,I20,Hatchback,USED,Automatic,1.4,Front,Unleaded,5.9,111783.0,NSW,4,Hatchback,5,5,13990.0
Mazda,2018.0,BT-50,Ute / Tray,USED,Automatic,3.2,Rear,Diesel,9.3,97460.0,NSW,5,Ute / Tray,4,5,30990.0
Mazda,2009.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,8.2,178389.0,NSW,4,Sedan,4,5,8499.0
Hyundai,2011.0,I20,Hatchback,USED,Automatic,1.4,Front,Unleaded,6.4,188262.0,NSW,4,Hatchback,5,5,10995.0
Honda,2015.0,Vezel,Top Auto Group,USED,Automatic,2.0,Other,Unleaded,7.4,71059.0,NSW,4,Wagon,4,5,24888.0
Jeep,2017.0,Renegade,SUV,USED,Automatic,1.4,Front,Premium,5.9,69218.0,NSW,4,SUV,4,5,24950.0
Mazda,2013.0,6,Sedan,USED,Automatic,2.5,Front,Unleaded,6.6,124093.0,NSW,4,Sedan,4,5,16990.0
Nissan,2009.0,Elgrand,Sydney City Traders,USED,Automatic,2.0,Rear,Unleaded,7.4,103090.0,NSW,4,Wagon,4,5,19995.0
Kia,2013.0,Grand,Wagon,USED,Automatic,3.5,Front,Unleaded,10.9,98672.0,NSW,6,Wagon,4,8,13995.0
Mitsubishi,2015.0,Lancer,Sedan,USED,Automatic,2.0,Front,Unleaded,7.2,61481.0,NSW,4,Sedan,4,5,17995.0
Subaru,2018.0,Impreza,Hatchback,USED,Automatic,2.0,AWD,Unleaded,6.6,61177.0,NSW,4,Hatchback,5,5,22990.0
Mazda,2014.0,3,Hatchback,USED,Automatic,2.0,Front,Unleaded,8.2,132648.0,NSW,4,Hatchback,5,5,16999.0
Audi,2015.0,A5,Coupe,USED,Automatic,2.0,AWD,Premium,6.7,115334.0,NSW,4,Coupe,2,4,26880.0
BMW,2014.0,118I,Hatchback,USED,Automatic,1.6,Rear,Premium,5.8,57000.0,NSW,4,Hatchback,5,5,16990.0
Toyota,2013.0,HiAce,Nippon Motors,USED,Automatic,2.0,Other,Diesel,7.4,191173.0,NSW,4,Commercial,4,5,30900.0
Suzuki,2015.0,Celerio,Hatchback,USED,Automatic,1.0,Front,Unleaded,4.8,23316.0,NSW,3,Hatchback,5,4,13880.0
Subaru,2016.0,Liberty,Sedan,USED,Automatic,3.6,AWD,Premium,9.9,226127.0,NSW,6,Sedan,4,5,17950.0
Toyota,2019.0,C-HR,SUV,USED,Manual,1.2,Front,Premium,5.4,58185.0,NSW,4,SUV,4,5,33888.0
Subaru,2021.0,Forester,SUV,USED,Automatic,2.5,AWD,Unleaded,7.4,16136.0,NSW,4,SUV,4,5,39990.0
Mazda,2015.0,CX-3,SUV,USED,Automatic,2.0,AWD,Unleaded,6.7,31531.0,NSW,4,SUV,4,5,23950.0
Jeep,2018.0,Grand,SUV,USED,Automatic,3.0,4WD,Diesel,7.5,76472.0,NSW,6,SUV,4,5,41950.0
Hyundai,2018.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,62719.0,NSW,4,Hatchback,4,5,21999.0
Nissan,2020.0,X-Trail,SUV,USED,Automatic,2.5,Front,Unleaded,7.9,52035.0,NSW,4,SUV,4,5,27990.0
Honda,2010.0,City,Sedan,USED,Automatic,1.5,Front,Unleaded,6.6,146445.0,NSW,4,Sedan,4,5,8950.0
Honda,2020.0,CR-V,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,35214.0,NSW,4,SUV,4,7,37880.0
Holden,2014.0,Cruze,Hatchback,USED,Manual,1.6,Front,Unleaded,7.4,163000.0,NSW,4,Hatchback,5,5,7950.0
Jeep,2013.0,Grand,SUV,USED,Automatic,3.6,Rear,Premium,10.1,69001.0,NSW,6,SUV,4,5,24990.0
Toyota,2007.0,RAV4,SUV,USED,Automatic,2.4,4WD,Unleaded,9.6,106718.0,NSW,4,SUV,4,5,14999.0
Holden,2016.0,Commodore,Sedan,USED,Automatic,3.0,Rear,Unleaded,8.3,59689.0,NSW,6,Sedan,4,5,22999.0
Mercedes-Benz,2010.0,CLC200,Coupe,USED,Automatic,1.8,Rear,Premium,9.0,177834.0,NSW,4,Coupe,2,4,7999.0
Dodge,2012.0,Journey,Mr Car,USED,Automatic,2.0,Other,Unleaded,7.4,147589.0,NSW,4,Wagon,4,5,10999.0
Mazda,2013.0,6,Sedan,USED,Automatic,2.5,Front,Unleaded,6.6,105767.0,NSW,4,Sedan,4,5,19999.0
Volkswagen,2018.0,Caddy,Commercial,USED,Automatic,1.4,Front,Premium,6.0,87293.0,NSW,4,Commercial,3,2,30999.0
Honda,2013.0,Civic,Sedan,USED,Automatic,1.8,Front,Unleaded,6.7,154347.0,NSW,4,Sedan,4,5,15990.0
Jeep,2021.0,Compass,SUV,USED,Automatic,2.4,Front,Unleaded,7.9,20827.0,NSW,4,SUV,4,5,32888.0
Toyota,2008.0,HiAce,Nippon Motors,USED,Automatic,2.0,Other,Unleaded,7.4,112980.0,NSW,4,Commercial,4,5,31900.0
Toyota,2010.0,Yaris,Hatchback,USED,Automatic,1.3,Front,Unleaded,6.5,147626.0,NSW,4,Hatchback,5,5,10995.0
Jeep,2014.0,Grand,SUV,USED,Automatic,3.0,4WD,Diesel,7.5,114424.0,NSW,6,SUV,4,5,29990.0
Mazda,2009.0,3,Hatchback,USED,Manual,2.5,Front,Unleaded,8.6,153020.0,NSW,4,Hatchback,5,5,13950.0
Ford,2016.0,Ranger,Ute / Tray,USED,Automatic,3.2,4WD,Diesel,9.0,98700.0,NSW,5,Ute / Tray,4,5,36999.0
Holden,2011.0,Captiva,Automobile Gallery,USED,Automatic,2.0,Other,Diesel,7.4,183924.0,NSW,4,Wagon,4,5,9990.0
Toyota,2013.0,86,Coupe,USED,Automatic,2.0,Rear,Premium,7.1,103706.0,NSW,4,Coupe,2,4,24990.0
Volkswagen,2013.0,Golf,Hatchback,USED,Automatic,1.4,Front,Premium,5.2,126532.0,NSW,4,Hatchback,5,5,13990.0
Mitsubishi,2013.0,Lancer,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.3,73421.0,NSW,4,Hatchback,5,5,16990.0
Toyota,2009.0,Camry,Sedan,USED,Automatic,2.4,Front,Unleaded,9.9,155135.0,NSW,4,Sedan,4,5,10995.0
Hyundai,2013.0,I20,Hatchback,USED,Automatic,1.4,Front,Unleaded,6.4,123330.0,NSW,4,Hatchback,5,5,12990.0
Mitsubishi,2014.0,Lancer,Hatchback,USED,Automatic,2.4,Front,Unleaded,8.9,44249.0,NSW,4,Hatchback,5,5,18990.0
Mazda,2018.0,2,Hatchback,USED,Automatic,1.5,Front,Unleaded,4.9,27100.0,NSW,4,Hatchback,5,5,23999.0
Mazda,2009.0,3,Hatchback,USED,Automatic,2.0,Front,Unleaded,8.2,70661.0,NSW,4,Hatchback,5,5,14995.0
Mitsubishi,2014.0,Triton,Ute / Tray,USED,Automatic,2.5,4WD,Diesel,9.3,215100.0,NSW,4,Ute / Tray,4,5,18995.0
Volkswagen,2014.0,Golf,Hatchback,USED,Automatic,1.4,Front,Premium,5.4,155036.0,NSW,4,Hatchback,5,5,14990.0
BMW,2012.0,M135I,Hatchback,USED,Automatic,3.0,Rear,Premium,7.5,67678.0,NSW,6,Hatchback,5,5,29950.0
Holden,2015.0,Commodore,Wagon,USED,Automatic,3.6,Rear,Unleaded,9.8,133934.0,NSW,6,Wagon,4,5,22999.0
Volkswagen,2008.0,Golf,Hatchback,USED,Automatic,2.0,Front,Premium,8.0,174915.0,NSW,4,Hatchback,5,5,14990.0
Holden,2014.0,Cruze,Sedan,USED,Automatic,1.8,Front,Unleaded,7.4,117000.0,NSW,4,Sedan,4,5,7888.0
Hyundai,2018.0,Imax,Wagon,USED,Automatic,2.5,Rear,Diesel,8.8,190176.0,NSW,4,Wagon,4,8,27990.0
Mitsubishi,2013.0,Triton,Ute / Tray,USED,Manual,2.5,4WD,Diesel,9.1,231675.0,NSW,4,Ute / Tray,4,5,19800.0
BMW,2021.0,330I,Sedan,USED,Automatic,2.0,Rear,Premium,6.4,23332.0,NSW,4,Sedan,4,5,67988.0
Volkswagen,2018.0,Golf,Wagon,USED,Automatic,1.4,Front,Premium,5.6,130647.0,NSW,4,Wagon,4,5,21880.0
Audi,2019.0,Q3,SUV,USED,Automatic,1.4,Front,Premium,7.2,47307.0,NSW,4,SUV,4,5,41888.0
Nissan,2005.0,Elgrand,Nippon Motors,USED,Automatic,2.0,Other,Unleaded,7.4,69619.0,NSW,4,Commercial,4,5,17900.0
Toyota,2009.0,Estima,Nippon Motors,USED,Automatic,2.0,Other,Unleaded,7.4,128647.0,NSW,4,Commercial,4,5,18900.0
Subaru,2016.0,Outback,SUV,USED,Automatic,2.5,AWD,Premium,7.3,74983.0,NSW,4,SUV,4,5,29990.0
Mazda,2007.0,6,Hatchback,USED,Manual,2.3,Front,Premium,8.8,102496.0,NSW,4,Hatchback,5,5,7920.0
Hyundai,2015.0,Accent,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.4,84924.0,NSW,4,Hatchback,5,5,14999.0
Land,2013.0,Rover,SUV,USED,Automatic,3.0,4WD,Diesel,8.8,159558.0,NSW,6,SUV,4,5,38950.0
Mercedes-Benz,2014.0,B-Class,CBP Motors,USED,Automatic,2.0,Front,Premium,7.4,98296.0,NSW,4,Hatchback,4,5,16999.0
Ford,2013.0,Focus,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.6,67590.0,NSW,4,Hatchback,5,5,12990.0
Kia,2017.0,Sportage,SUV,USED,Automatic,2.4,AWD,Unleaded,8.5,65502.0,NSW,4,SUV,4,5,29990.0
Suzuki,2017.0,Swift,Alto Volkswagen Used Cars,USED,Automatic,2.0,Front,Premium,7.4,55794.0,NSW,4,Hatchback,4,5,26280.0
Nissan,2016.0,Navara,Ute / Tray,USED,Automatic,2.3,4WD,Diesel,7.0,258936.0,NSW,4,Ute / Tray,4,5,21290.0
Toyota,2009.0,Estima,Nippon Motors,USED,Automatic,2.0,Other,Unleaded,7.4,106208.0,NSW,4,Commercial,4,5,22900.0
Toyota,2008.0,Hilux,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,9.5,251000.0,NSW,4,Ute / Tray,4,5,21290.0
Mazda,2014.0,3,Hatchback,USED,Automatic,2.0,Front,Unleaded,5.8,130242.0,NSW,4,Hatchback,5,5,16388.0
Hyundai,2021.0,Venue,SUV,USED,Automatic,1.6,Front,Unleaded,7.2,35024.0,NSW,4,SUV,4,5,26990.0
BMW,2015.0,X1,SUV,USED,Automatic,2.0,AWD,Diesel,5.1,44145.0,NSW,4,SUV,4,5,32000.0
BMW,2021.0,330I,Sedan,USED,Automatic,2.0,Rear,Premium,6.4,29567.0,NSW,4,Sedan,4,5,67988.0
Mazda,2007.0,6,Hatchback,USED,Automatic,2.3,Front,Premium,8.9,223898.0,NSW,4,Hatchback,5,5,7600.0
Hyundai,2013.0,Veloster,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.4,155244.0,NSW,4,Hatchback,3,4,17990.0
Toyota,2017.0,Camry,Sedan,USED,Automatic,2.5,Front,Unleaded,7.9,149988.0,NSW,4,Sedan,4,5,19950.0
Mitsubishi,2011.0,Lancer,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.3,205373.0,NSW,4,Hatchback,5,5,9990.0
Suzuki,2011.0,Swift,Hatchback,USED,Automatic,1.4,Front,Unleaded,6.2,201011.0,NSW,4,Hatchback,5,5,7999.0
Toyota,2009.0,Estima,Nippon Motors,USED,Automatic,2.0,Other,Unleaded,7.4,165589.0,NSW,4,Commercial,4,5,19900.0
Peugeot,2017.0,308,Hatchback,USED,Automatic,1.2,Front,Premium,5.1,57217.0,NSW,3,Hatchback,5,5,16990.0
Holden,2017.0,Trax,SUV,USED,Automatic,1.4,Front,Unleaded,6.9,83147.0,NSW,4,SUV,4,5,17888.0
Mitsubishi,2015.0,Triton,Ute / Tray,USED,Automatic,2.5,4WD,Diesel,9.3,204000.0,NSW,4,Ute / Tray,4,5,18995.0
Subaru,2013.0,Forester,SUV,USED,Manual,2.0,AWD,Unleaded,7.2,122077.0,NSW,4,SUV,4,5,16857.0
Mazda,2015.0,CX-3,SUV,USED,Automatic,2.0,Front,Unleaded,6.1,60581.0,NSW,4,SUV,4,5,22990.0
Nissan,2010.0,Navara,Ute / Tray,USED,Manual,2.5,4WD,Diesel,9.8,259488.0,NSW,4,Ute / Tray,2,2,13950.0
Holden,2017.0,Captiva,SUV,USED,Automatic,2.4,Front,Unleaded,9.0,186954.0,NSW,4,SUV,4,7,12990.0
Kia,2017.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.1,21350.0,NSW,4,Hatchback,5,5,22990.0
Audi,2016.0,RS3,Hatchback,USED,Automatic,2.5,AWD,Premium,8.1,47926.0,NSW,5,Hatchback,5,5,59990.0
Mitsubishi,2014.0,Triton,Ute / Tray,USED,Manual,2.5,Rear,Diesel,8.0,88861.0,NSW,4,Ute / Tray,2,2,21880.0
Mercedes-Benz,2018.0,C200,Sedan,USED,Automatic,2.0,Rear,Hybrid,6.5,72540.0,NSW,4,Sedan,4,4,39990.0
Toyota,2020.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Hybrid,4.2,87043.0,NSW,4,Hatchback,5,5,39990.0
Ford,2012.0,Ranger,Ute / Tray,USED,Manual,3.2,4WD,Diesel,9.4,254121.0,NSW,5,Ute / Tray,4,5,21990.0
Honda,2008.0,Civic,Hatchback,USED,Manual,2.0,Front,Premium,9.3,165450.0,NSW,4,Hatchback,3,4,18990.0
Honda,2022.0,CR-V,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,15087.0,NSW,4,SUV,4,5,39990.0
Nissan,2013.0,Navara,Ute / Tray,USED,Automatic,2.5,4WD,Diesel,10.5,159056.0,NSW,4,Ute / Tray,4,5,21990.0
Hyundai,2017.0,Tucson,SUV,USED,Automatic,2.0,AWD,Diesel,6.8,97295.0,NSW,4,SUV,4,5,31990.0
Mazda,2015.0,CX-5,SUV,USED,Automatic,2.5,AWD,Unleaded,7.4,83095.0,NSW,4,SUV,4,5,26990.0
Toyota,2015.0,HiAce,Nippon Motors,USED,Automatic,2.0,Rear,Unleaded,7.4,167379.0,NSW,4,Commercial,4,5,32900.0
Isuzu,2017.0,D-MAX,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,7.7,192988.0,NSW,4,Ute / Tray,4,5,28999.0
Mercedes-Benz,2014.0,A200,Hatchback,USED,Automatic,1.8,Front,Diesel,4.6,105663.0,NSW,4,Hatchback,5,5,22500.0
Ford,2020.0,Puma,SUV,USED,Automatic,1.0,Front,Premium,5.3,22300.0,NSW,3,SUV,5,5,27800.0
Mazda,2022.0,2,Hatchback,USED,Automatic,1.5,Front,Unleaded,5.2,11824.0,NSW,4,Hatchback,5,5,29990.0
Toyota,2007.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.7,250318.0,NSW,4,Hatchback,5,5,10990.0
Jeep,2016.0,Grand,SUV,USED,Automatic,3.6,4WD,Premium,10.4,39967.0,NSW,6,SUV,4,5,34800.0
Hyundai,2020.0,Tucson,SUV,USED,Automatic,2.0,Front,Unleaded,7.9,38341.0,NSW,4,SUV,4,5,28984.0
Toyota,2020.0,Camry,Sedan,USED,Automatic,2.5,Front,Unleaded,8.3,7528.0,NSW,4,Sedan,4,5,32990.0
Honda,2018.0,City,Sedan,USED,Automatic,1.5,Front,Unleaded,5.8,94385.0,NSW,4,Sedan,4,5,19999.0
Toyota,2018.0,C-HR,SUV,USED,Automatic,1.2,AWD,Premium,5.6,110047.0,NSW,4,SUV,4,5,29990.0
Kia,2012.0,Sorento,SUV,USED,Automatic,2.2,AWD,Diesel,7.4,164189.0,NSW,4,SUV,4,7,16990.0
Holden,2013.0,Cruze,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.4,106722.0,NSW,4,Hatchback,5,5,10800.0
Isuzu,2018.0,MU-X,SUV,USED,Automatic,3.0,Front,Diesel,8.1,72650.0,NSW,4,SUV,4,7,39880.0
Kia,2015.0,Cerato,Sedan,USED,Automatic,1.8,Front,Unleaded,7.1,123624.0,NSW,4,Sedan,4,5,14995.0
Lexus,2014.0,IS350,Sedan,USED,Automatic,3.5,Rear,Premium,9.7,155620.0,NSW,6,Sedan,4,5,27990.0
Mazda,2018.0,2,Hatchback,USED,Automatic,1.5,Front,Unleaded,4.9,53426.0,NSW,4,Hatchback,5,5,22990.0
Toyota,2009.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.7,114727.0,NSW,4,Hatchback,5,5,14995.0
Toyota,2016.0,Kluger,SUV,USED,Automatic,3.5,AWD,Unleaded,10.6,98983.0,NSW,6,SUV,4,7,39280.0
Volkswagen,2007.0,Golf,Hatchback,USED,Automatic,2.0,Front,Premium,8.1,160523.0,NSW,4,Hatchback,3,5,10990.0
Nissan,2016.0,X-Trail,SUV,USED,Automatic,2.5,Front,Unleaded,7.9,39397.0,NSW,4,SUV,4,5,23950.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,54368.0,NSW,4,Hatchback,4,5,26990.0
Holden,2014.0,Cruze,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.4,220683.0,NSW,4,Hatchback,5,5,7990.0
Toyota,2013.0,Camry,Sedan,USED,Automatic,2.5,Front,Unleaded,7.8,89140.0,NSW,4,Sedan,4,5,17900.0
Toyota,2013.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,6.6,149974.0,NSW,4,Hatchback,5,5,16990.0
Hyundai,2019.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,44879.0,NSW,4,Hatchback,4,5,26990.0
Mazda,2016.0,BT-50,Ute / Tray,USED,Automatic,3.2,4WD,Diesel,9.2,110909.0,NSW,5,Ute / Tray,4,5,34913.0
Toyota,2013.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,6.6,109519.0,NSW,4,Hatchback,5,5,19990.0
